X,Y
-117.41129,47.656626
-117.435709,47.6545
-117.419499,47.65607
-122.14356,47.764771
-122.393055,47.6795
-122.393474,47.668699
-82.104532,33.481994
-82.10291,33.485017
-82.128515,33.472805
-82.131673,33.485048
-82.080899,33.467269
-82.086715,33.41386
-82.197147,33.457701
-82.090062,33.466138
-117.432654,47.718353
-117.432509,47.71559
-122.317553,47.536894
-122.310897,47.593101
-122.310899,47.5931
-117.366734,47.6691
-117.410496,47.6573
-117.402084,47.6556
-122.244275,47.496895
-122.190094,47.7112
-122.16947,47.575211
-122.488517,48.754613
-122.477943,48.7558
-122.490346,48.755605
-122.373599,47.655499
-122.379357,47.663143
-122.383399,47.658324
-122.366974,47.6637
-122.376199,47.636004
-122.37621,47.635998
-122.364009,47.658213
-122.209999,47.980531
-122.207199,47.981986
-122.205799,47.980299
-122.505209,47.207894
-122.467498,47.229663
-122.486599,47.205547
-122.465612,47.231798
-122.480599,47.225672
-122.507323,47.190557
-122.5052,47.2211
-122.470623,47.184793
-122.483765,47.1854
-122.505169,47.221084
-122.483885,47.186102
-122.46996,47.184584
-122.121699,47.619134
-122.934145,47.031236
-122.249566,47.898949
-122.236871,47.905986
-122.190094,47.7112
